Date,value,volume,time,tuesday,wednesday,thursday,friday,month_cos_embed,month_sin_embed,day_cos_embed,day_sin_embed
2010-08-26,1.3166669607162476,6507000,41,0,0,1,0,-0.8660254037844388,-0.4999999999999997,0.3473052528448203,-0.9377521321470804
2010-08-27,1.3133330345153809,5694000,42,0,0,0,1,-0.8660254037844388,-0.4999999999999997,0.5289640103269624,-0.848644257494751
2010-08-30,1.324666976928711,10992000,43,0,0,0,0,-0.8660254037844388,-0.4999999999999997,0.9189578116202306,-0.3943558551133187
2010-08-31,1.2986669540405273,3016500,44,1,0,0,0,-0.8660254037844388,-0.4999999999999997,0.9795299412524943,-0.20129852008866114
2010-09-01,1.363332986831665,7423500,45,0,1,0,0,-0.5000000000000004,-0.8660254037844384,1.0,0.0
2010-09-02,1.4040000438690186,7306500,46,0,0,1,0,-0.5000000000000004,-0.8660254037844384,0.9781476007338057,0.20791169081775931
2010-09-03,1.4033329486846924,6519000,47,0,0,0,1,-0.5000000000000004,-0.8660254037844384,0.9135454576426009,0.40673664307580015
2010-09-07,1.369333028793335,3651000,48,1,0,0,0,-0.5000000000000004,-0.8660254037844384,0.30901699437494745,0.9510565162951535
2010-09-08,1.3933329582214355,4326000,49,0,1,0,0,-0.5000000000000004,-0.8660254037844384,0.10452846326765346,0.9945218953682733
2010-09-09,1.380666971206665,5643000,50,0,0,1,0,-0.5000000000000004,-0.8660254037844384,-0.10452846326765333,0.9945218953682734
2010-09-10,1.3446669578552246,5799000,51,0,0,0,1,-0.5000000000000004,-0.8660254037844384,-0.30901699437494734,0.9510565162951536
2010-09-13,1.3813329935073853,5412000,52,0,0,0,0,-0.5000000000000004,-0.8660254037844384,-0.8090169943749473,0.5877852522924732
2010-09-14,1.4079999923706055,9820500,53,1,0,0,0,-0.5000000000000004,-0.8660254037844384,-0.913545457642601,0.40673664307580004
2010-09-15,1.4653329849243164,10269000,54,0,1,0,0,-0.5000000000000004,-0.8660254037844384,-0.9781476007338057,0.20791169081775931
2010-09-16,1.3960000276565552,40267500,55,0,0,1,0,-0.5000000000000004,-0.8660254037844384,-1.0,5.66553889764798e-16
2010-09-17,1.348667025566101,17977500,56,0,0,0,1,-0.5000000000000004,-0.8660254037844384,-0.9781476007338057,-0.20791169081775907
2010-09-20,1.4040000438690186,14212500,57,0,0,0,0,-0.5000000000000004,-0.8660254037844384,-0.6691306063588585,-0.743144825477394
2010-09-21,1.3846670389175415,11940000,58,1,0,0,0,-0.5000000000000004,-0.8660254037844384,-0.5000000000000004,-0.8660254037844384
2010-09-22,1.324666976928711,14443500,59,0,1,0,0,-0.5000000000000004,-0.8660254037844384,-0.30901699437494756,-0.9510565162951535
2010-09-23,1.3040000200271606,10021500,60,0,0,1,0,-0.5000000000000004,-0.8660254037844384,-0.10452846326765423,-0.9945218953682733
2010-09-24,1.340000033378601,8683500,61,0,0,0,1,-0.5000000000000004,-0.8660254037844384,0.10452846326765299,-0.9945218953682734
2010-09-27,1.3686670064926147,6279000,62,0,0,0,0,-0.5000000000000004,-0.8660254037844384,0.6691306063588585,-0.743144825477394
2010-09-28,1.4266669750213623,18217500,63,1,0,0,0,-0.5000000000000004,-0.8660254037844384,0.8090169943749473,-0.5877852522924734
2010-09-29,1.4653329849243164,29539500,64,0,1,0,0,-0.5000000000000004,-0.8660254037844384,0.913545457642601,-0.40673664307580015
2010-09-30,1.3606669902801514,32937000,65,0,0,1,0,-0.5000000000000004,-0.8660254037844384,0.9781476007338057,-0.20791169081775898
2010-10-01,1.3733329772949219,8965500,66,0,0,0,1,-1.8369701987210297e-16,-1.0,1.0,0.0
2010-10-04,1.3993330001831055,9654000,67,0,0,0,0,-1.8369701987210297e-16,-1.0,0.8207634412072763,0.5712682150947923
2010-10-05,1.4079999923706055,4980000,68,1,0,0,0,-1.8369701987210297e-16,-1.0,0.6889669190756866,0.7247927872291199
2010-10-06,1.3639999628067017,4701000,69,0,1,0,0,-1.8369701987210297e-16,-1.0,0.5289640103269624,0.8486442574947509
2010-10-07,1.3619999885559082,2115000,70,0,0,1,0,-1.8369701987210297e-16,-1.0,0.3473052528448203,0.9377521321470804
2010-10-08,1.3619999885559082,4017000,71,0,0,0,1,-1.8369701987210297e-16,-1.0,0.1514277775045767,0.9884683243281114
2010-10-11,1.3493330478668213,2568000,72,0,0,0,0,-1.8369701987210297e-16,-1.0,-0.4403941515576344,0.8978045395707416
2010-10-12,1.3493330478668213,3660000,73,1,0,0,0,-1.8369701987210297e-16,-1.0,-0.6121059825476626,0.7907757369376989
2010-10-13,1.369333028793335,4773000,74,0,1,0,0,-1.8369701987210297e-16,-1.0,-0.7587581226927909,0.6513724827222223
2010-10-14,1.3833329677581787,4422000,75,0,0,1,0,-1.8369701987210297e-16,-1.0,-0.8743466161445821,0.48530196253108104
2010-10-15,1.369333028793335,4270500,76,0,0,0,1,-1.8369701987210297e-16,-1.0,-0.9541392564000488,0.29936312297335804
2010-10-18,1.348667025566101,2442000,77,0,0,0,0,-1.8369701987210297e-16,-1.0,-0.9541392564000488,-0.2993631229733582
2010-10-19,1.3366669416427612,3678000,78,1,0,0,0,-1.8369701987210297e-16,-1.0,-0.8743466161445822,-0.4853019625310808
2010-10-20,1.3766670227050781,4687500,79,0,1,0,0,-1.8369701987210297e-16,-1.0,-0.7587581226927911,-0.651372482722222
2010-10-21,1.3833329677581787,6256500,80,0,0,1,0,-1.8369701987210297e-16,-1.0,-0.6121059825476627,-0.7907757369376986
2010-10-22,1.3813329935073853,2416500,81,0,0,0,1,-1.8369701987210297e-16,-1.0,-0.44039415155763423,-0.8978045395707417
2010-10-25,1.3899999856948853,1777500,82,0,0,0,0,-1.8369701987210297e-16,-1.0,0.15142777750457667,-0.9884683243281114
2010-10-26,1.4240000247955322,9913500,83,1,0,0,0,-1.8369701987210297e-16,-1.0,0.3473052528448203,-0.9377521321470804
2010-10-27,1.399999976158142,5347500,84,0,1,0,0,-1.8369701987210297e-16,-1.0,0.5289640103269624,-0.848644257494751
2010-10-28,1.4126670360565186,3363000,85,0,0,1,0,-1.8369701987210297e-16,-1.0,0.6889669190756865,-0.72479278722912
2010-10-29,1.4559999704360962,4209000,86,0,0,0,1,-1.8369701987210297e-16,-1.0,0.8207634412072763,-0.5712682150947924
